"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Giannis Antetokounmpo","54.19","PF/C","MIL","HOU","31.0","11,000","4.93","-0.81"
"Luka Doncic","53.88","PG/SF","DAL","CLE","34.9","10,900","4.94","-0.62"
"Nikola Jokic","51.80","C","DEN","UTA","34.2","10,800","4.80","-2.20"
"Joel Embiid","49.41","C","PHI","NO","31.0","10,700","4.62","-4.09"
"Jayson Tatum","48.77","PF","BOS","CHI","36.9","10,500","4.65","-3.73"
"Karl-Anthony Towns","47.05","C","MIN","MIA","33.3","10,600","4.44","-5.95"
"Jimmy Butler","46.85","SF","MIA","MIN","34.0","9,500","4.93","-0.65"
"Julius Randle","46.80","PF/C","NYK","PHX","37.1","10,100","4.63","-3.70"
"Nikola Vucevic","46.22","C","CHI","BOS","33.7","10,400","4.44","-5.78"
"Damian Lillard","45.27","PG","POR","LAL","37.8","9,700","4.67","-3.23"
"Kelly Olynyk","43.69","PF/C","HOU","MIL","34.7","8,000","5.46","3.69"
"Anthony Davis","43.50","PF/C","LAL","POR","31.8","9,800","4.44","-5.50"
"Bam Adebayo","42.85","C","MIA","MIN","33.0","9,300","4.61","-3.65"
"DeMar DeRozan","40.16","SF","SAS","SAC","34.4","8,400","4.78","-1.84"
"KJ Martin Jr.","39.45","PF","HOU","MIL","38.4","4,700","8.39","15.95"
"Mo Bamba","38.75","C","ORL","CHA","27.5","6,100","6.35","8.25"
"LaMelo Ball","38.01","PG","CHA","ORL","30.0","8,200","4.63","-2.99"
"Terry Rozier","37.83","PG/SG","CHA","ORL","35.9","8,000","4.73","-2.17"
"Collin Sexton","37.79","PG/SG","CLE","DAL","35.5","8,700","4.34","-5.71"
"Devin Booker","37.77","SG","PHX","NYK","34.6","8,400","4.50","-4.23"
"Buddy Hield","37.68","SG/SF","SAC","SAS","38.5","8,000","4.71","-2.32"
"Lonzo Ball","37.61","PG","NO","PHI","33.0","8,100","4.64","-2.89"
"CJ McCollum","37.25","PG/SG","POR","LAL","36.5","8,300","4.49","-4.25"
"Kemba Walker","37.13","PG","BOS","CHI","34.2","7,600","4.89","-0.87"
"Delon Wright","36.81","PG/SG","SAC","SAS","35.2","6,800","5.41","2.81"
"Rudy Gobert","36.72","C","UTA","DEN","30.4","9,000","4.08","-8.28"
"Jordan Clarkson","36.63","PG/SG","UTA","DEN","31.1","7,500","4.88","-0.87"
"Dejounte Murray","36.52","PG","SAS","SAC","32.4","7,800","4.68","-2.48"
"Jrue Holiday","36.32","PG/SG","MIL","HOU","31.1","8,600","4.22","-6.68"
"Khris Middleton","36.24","SG/SF","MIL","HOU","30.4","8,900","4.07","-8.26"
"D'Angelo Russell","36.14","PG/SG","MIN","MIA","33.9","7,300","4.95","-0.36"
"Michael Porter Jr.","35.99","SF/PF","DEN","UTA","35.8","8,600","4.18","-7.01"
"Chris Paul","35.42","PG","PHX","NYK","30.2","7,600","4.66","-2.58"
"PJ Washington","34.75","PF/C","CHA","ORL","33.9","7,000","4.96","-0.25"
"Marvin Bagley III","34.58","PF","SAC","SAS","31.3","5,900","5.86","5.08"
"Zach LaVine","34.54","SG","CHI","BOS","29.7","9,800","3.52","-14.46"
"Jarrett Allen","34.53","C","CLE","DAL","31.7","7,200","4.80","-1.47"
"Tobias Harris","34.53","SF/PF","PHI","NO","30.9","7,000","4.93","-0.47"
"Andre Drummond","33.88","C","LAL","POR","23.7","6,900","4.91","-0.62"
"Ben Simmons","33.39","PG","PHI","NO","29.4","7,400","4.51","-3.61"
"RJ Barrett","33.35","SF","NYK","PHX","37.8","6,900","4.83","-1.15"
"Richaun Holmes","32.83","C","SAC","SAS","29.4","6,600","4.97","-0.17"
"Joe Ingles","32.79","SG/SF","UTA","DEN","32.4","6,700","4.89","-0.71"
"Marcus Smart","32.21","PG/SG","BOS","CHI","35.3","6,900","4.67","-2.29"
"Deandre Ayton","31.86","C","PHX","NYK","29.5","6,700","4.75","-1.64"
"Anthony Edwards","31.85","SG/SF","MIN","MIA","33.9","7,900","4.03","-7.65"
"Jusuf Nurkic","31.43","C","POR","LAL","26.1","7,000","4.49","-3.57"
"Moritz Wagner","30.96","PF/C","ORL","CHA","32.2","5,500","5.63","3.46"
"Derrick Rose","30.28","PG/SG","NYK","PHX","30.6","6,000","5.05","0.28"
"Tim Hardaway Jr.","30.22","SF","DAL","CLE","32.3","5,700","5.30","1.72"
"Cole Anthony","29.74","PG","ORL","CHA","28.8","6,800","4.37","-4.26"
"D.J. Augustin","29.72","PG","HOU","MIL","27.8","3,000","9.91","14.72"
"Anthony Lamb","29.64","SF/PF","HOU","MIL","35.0","3,400","8.72","12.64"
"Guillermo Hernangomez","29.42","C","NO","PHI","26.0","5,000","5.88","4.42"
"Naji Marshall","29.16","SG/SF","NO","PHI","30.4","4,100","7.11","8.66"
"Bojan Bogdanovic","29.13","SF/PF","UTA","DEN","33.7","6,800","4.28","-4.87"
"Coby White","28.50","PG","CHI","BOS","29.7","6,900","4.13","-6.00"
"Evan Fournier","28.21","SG","BOS","CHI","30.9","5,400","5.22","1.21"
"Kyle Kuzma","28.17","SF/PF","LAL","POR","32.1","5,600","5.03","0.17"
"Cedi Osman","27.98","SF/PF","CLE","DAL","32.9","5,700","4.91","-0.52"
"Kendrick Nunn","27.89","PG","MIA","MIN","31.7","6,200","4.50","-3.11"
"Mikal Bridges","27.71","SF","PHX","NYK","34.4","5,600","4.95","-0.29"
"Eric Bledsoe","27.65","PG/SG","NO","PHI","31.1","4,900","5.64","3.15"
"Norman Powell","27.39","SG/SF","POR","LAL","33.9","6,400","4.28","-4.61"
"R.J. Hampton","27.19","PG/SG","ORL","CHA","30.5","5,200","5.23","1.19"
"James Johnson","27.17","SF/PF","NO","PHI","29.2","3,300","8.23","10.67"
"Jalen McDaniels","26.12","SF/PF","CHA","ORL","30.7","5,200","5.02","0.12"
"Keldon Johnson","25.70","PF","SAS","SAC","28.4","4,900","5.24","1.20"
"Facundo Campazzo","25.49","PG/SG","DEN","UTA","33.9","5,100","5.00","-0.01"
"Armoni Brooks","25.26","PG","HOU","MIL","33.6","3,900","6.48","5.76"
"Jakob Poeltl","25.08","C","SAS","SAC","25.1","5,500","4.56","-2.42"
"Alex Caruso","24.90","PG/SG","LAL","POR","28.2","4,000","6.22","4.90"
"Thaddeus Young","24.73","PF/C","CHI","BOS","21.9","6,300","3.92","-6.77"
"DaQuan Jeffries","24.72","SG","HOU","MIL","35.0","3,300","7.49","8.22"
"Malik Monk","24.56","SG","CHA","ORL","25.3","4,500","5.46","2.06"
"Goran Dragic","24.50","PG","MIA","MIN","24.7","5,600","4.37","-3.50"
"Dorian Finney-Smith","24.44","SF/PF","DAL","CLE","33.6","5,600","4.36","-3.56"
"Brook Lopez","24.09","C","MIL","HOU","25.6","4,800","5.02","0.09"
"Terence Davis","24.04","SG/SF","SAC","SAS","25.3","4,800","5.01","0.04"
"Donte DiVincenzo","23.97","PG/SG","MIL","HOU","25.0","5,000","4.79","-1.03"
"Robert Covington","23.68","PF/C","POR","LAL","31.4","5,100","4.64","-1.82"
"Dwayne Bacon","23.67","SG/SF","ORL","CHA","31.6","4,800","4.93","-0.33"
"Paul Millsap","23.61","PF/C","DEN","UTA","26.1","3,400","6.94","6.61"
"Trevor Ariza","23.35","PF","MIA","MIN","28.5","4,600","5.08","0.35"
"Jaxson Hayes","23.31","C","NO","PHI","23.9","3,500","6.66","5.81"
"Tristan Thompson","23.05","C","BOS","CHI","24.4","5,200","4.43","-2.95"
"Duncan Robinson","22.65","SG/SF","MIA","MIN","29.8","5,100","4.44","-2.85"
"Daniel Theis","22.48","PF/C","CHI","BOS","25.8","5,300","4.24","-4.02"
"Dean Wade","22.25","PF/C","CLE","DAL","29.1","3,800","5.86","3.25"
"Reggie Bullock","22.23","SG/SF","NYK","PHX","32.5","4,900","4.54","-2.27"
"Royce O'Neale","22.16","SF/PF","UTA","DEN","31.1","4,400","5.04","0.16"
"Bobby Portis","22.13","PF/C","MIL","HOU","19.0","5,600","3.95","-5.87"
"Ricky Rubio","22.13","PG","MIN","MIA","25.5","4,900","4.52","-2.37"
"Josh Richardson","22.03","SG","DAL","CLE","28.5","4,700","4.69","-1.47"
"Jalen Brunson","21.90","PG/SG","DAL","CLE","23.7","4,900","4.47","-2.60"
"Nerlens Noel","21.84","C","NYK","PHX","27.4","5,100","4.28","-3.66"
"Jarred Vanderbilt","21.75","PF/C","MIN","MIA","24.4","3,300","6.59","5.25"
"Aaron Gordon","21.69","SF/PF","DEN","UTA","27.1","5,000","4.34","-3.31"
"Kentavious Caldwell-Pope","21.68","SG","LAL","POR","32.1","3,800","5.71","2.68"
"Gary Harris","21.29","SG/SF","ORL","CHA","24.9","4,200","5.07","0.29"
"Lonnie Walker IV","21.26","PG/SG","SAS","SAC","27.2","3,800","5.60","2.26"
"Dwight Powell","21.20","C","DAL","CLE","23.4","3,700","5.73","2.70"
"Seth Curry","21.16","SG","PHI","NO","28.0","4,400","4.81","-0.84"
"Juancho Hernangomez","21.15","SF/PF","MIN","MIA","26.5","3,500","6.04","3.65"
"Caleb Martin","20.91","SG/SF","CHA","ORL","24.9","4,400","4.75","-1.09"
"Naz Reid","20.82","PF/C","MIN","MIA","20.1","3,600","5.78","2.82"
"Rudy Gay","20.79","SF/PF","SAS","SAC","20.6","3,900","5.33","1.29"
"Danny Green","20.77","SF","PHI","NO","26.7","4,000","5.19","0.77"
"Elfrid Payton","20.57","PG","NYK","PHX","23.5","3,300","6.23","4.07"
"Torrey Craig","20.16","PF","PHX","NYK","23.4","3,500","5.76","2.66"
"Georges Niang","19.97","PF","UTA","DEN","25.8","3,600","5.55","1.97"
"Carmelo Anthony","19.86","PF","POR","LAL","23.9","3,700","5.37","1.36"
